Model,Dataset,N_Training_Samples,BATCH_SIZE,LEARNING_RATE,EPOCHS,Time_Seconds,Accuracy,BIGRAM_BOOL,BINARY_BOOL
Ensemble_Descriptions,GenImgNet,200.0,16.0,1e-05,32.0,0.65,0.4986072423398329,False,False
VGG19,GenImgNet,200.0,16.0,0.001,4.0,93.36,0.4791086316108703,,
Ensemble_AllProba,GenImgNet,200.0,32.0,0.001,14.0,1.13,0.4623955431754875,,
ResNet,GenImgNet,200.0,16.0,0.001,1.0,56.5889,0.4568245125348189,,
ViT,GenImgNet,200.0,16.0,1e-05,32.0,340.008,0.4540389972144846,,
ConvNeXtBase,GenImgNet,200.0,64.0,0.001,2.0,92.6712,0.4484679665738161,,
Inception,GenImgNet,200.0,32.0,0.01,6.0,57.1,0.4428969323635101,,
Full-NN-Training,GenImgNet,200.0,16.0,1e-05,2.0,29.03,0.3899721448467966,,
Phi,GenImgNet,200.0,,,,,0.3426183844011142,,
GPT,GenImgNet,200.0,,,,,0.3342618384401114,,
Ensemble_Descriptions,Generated-Ethnicity,200.0,32.0,0.01,11.0,0.24,0.8802228412256268,False,True
ConvNeXtBase,Generated-Ethnicity,200.0,16.0,1e-05,7.0,137.3923,0.8690807799442897,,
Ensemble_AllProba,Generated-Ethnicity,200.0,16.0,0.001,24.0,0.51,0.8690807799442897,,
ViT,Generated-Ethnicity,200.0,64.0,1e-05,32.0,222.0,0.8467966573816156,,
ResNet,Generated-Ethnicity,200.0,32.0,0.001,3.0,46.8595,0.7493036211699164,,
VGG19,Generated-Ethnicity,200.0,32.0,0.01,7.0,121.42,0.7465181350708008,,
Inception,Generated-Ethnicity,200.0,32.0,0.01,14.0,97.08,0.738161563873291,,
Xception,Generated-Ethnicity,200.0,16.0,0.001,32.0,415.39,0.7158774137496948,,
Full-NN-Training,Generated-Ethnicity,200.0,16.0,1e-05,3.0,24.13,0.6657381615598886,,
Phi,Generated-Ethnicity,200.0,,,,,0.5236768802228412,,
GPT,Generated-Ethnicity,200.0,,,,,0.13333333333333333,,
Ensemble_Descriptions,Generated-Gender,200.0,64.0,1e-05,32.0,0.36,0.935933147632312,False,True
ConvNeXtBase,Generated-Gender,200.0,64.0,1e-05,14.0,221.9369,0.9331476323119776,,
ViT,Generated-Gender,200.0,16.0,1e-05,14.0,116.9869,0.9303621169916436,,
Ensemble_AllProba,Generated-Gender,200.0,16.0,0.01,11.0,0.22,0.9275766016713092,,
Inception,Generated-Gender,200.0,16.0,0.001,32.0,225.23,0.9080780148506165,,
VGG19,Generated-Gender,200.0,16.0,0.01,7.0,122.74,0.902506947517395,,
Xception,Generated-Gender,200.0,16.0,0.01,14.0,184.75,0.902506947517395,,
ResNet,Generated-Gender,200.0,16.0,0.001,8.0,77.0956,0.8969359331476323,,
GPT,Generated-Gender,200.0,,,,,0.8802228412256268,,
Phi,Generated-Gender,200.0,,,,,0.8579387186629527,,
Full-NN-Training,Generated-Gender,200.0,16.0,1e-05,4.0,8.93,0.8245125348189415,,
Ensemble_AllProba,KonIQ,200.0,16.0,0.01,14.0,0.27,0.603448275862069,,
Ensemble_Descriptions,KonIQ,200.0,32.0,0.001,13.0,0.2,0.5775862068965517,True,False
ConvNeXtBase,KonIQ,200.0,16.0,0.001,11.0,190.9262,0.5574712643678161,,
ViT,KonIQ,200.0,64.0,0.001,3.0,47.6772,0.5373563218390804,,
Full-NN-Training,KonIQ,200.0,16.0,1e-05,4.0,14.31,0.5172413793103449,,
ResNet,KonIQ,200.0,32.0,0.01,6.0,76.6949,0.514367816091954,,
Inception,KonIQ,200.0,32.0,0.001,9.0,63.56,0.5086206793785095,,
VGG19,KonIQ,200.0,32.0,1e-05,32.0,540.88,0.5057471394538879,,
Xception,KonIQ,200.0,32.0,0.001,16.0,221.58,0.497126430273056,,
